,$\nu = 6$ bounds
PB1,3844.34660114
PB2,1755.9412952
PB3,5561.28991362
PB4,1099233.16617
PB5,2518107.75403
PB6,1071479.90851
PB7,15679487.4356
PB8,131052.193655
PB9,4465.02926072
PB10,14312.6254269
PB11,24762.5590064
PB12,175493.305352
PB13,163611.214629
PB14,924305.572679
PB15,2443164.93597
PB16,141456.562712
PB17,4217.15831421
PB18,26765.5607639
PB19,240149.516393
PB20,148822.89059
PB21,84362.0581908
PB22,2327634.10741
PB23,211164.855387
PB24,691255.773187
PB25,42705.5228446
PB26,1670.40407527
PB27,154376.926281
PB28,721411.040155
PB29,19079.481456
PB30,3921.62886747
PB31,41464.7212563
PB32,4598268.93188
PB33,1147229.16486
PB34,2735372.35136
PB35,13735.1920472
PB36,16423.4818068
PB37,128392.625782
PB38,368122.166511
PB39,5048.17120422
PB40,339757.718757
PB41,3446989.69693
PB42,872081.632367
PB43,1223253.25087
PB44,599677.219521
PB45,3922308.26251
PB46,927664.526011
PB47,66842.9290711
PB48,1032360.69856
PB49,380432.954061
PB50,5629701.96794
PB51,498828.498478
PB52,1293.39145902
PB53,242674.755674
PB54,70423.1425685
PB55,235284.207746
PB56,10498390.0192
PB57,1724460.81463
PB58,4274.68323405
PB59,8601048.29249
PB60,196921.739923
PB61,259536.459764
PB62,1017.36500613
PB63,1386.64425103
PB64,139750.662138
PB65,959654.848093
PB66,550661.697515
PB67,19023.2746582
PB68,89822.5117134
PB69,5708.0455746
PB70,767376.453398
PB71,62081.9718075
PB72,54717.3898795
PB73,1337028.24661
PB74,1379576.05529
