UDL,Nu,Coef,UDL value
AAI,3.13378238678,0.0201071269819,29.66
AEX,3.34564113617,0.0136961726224,443.83
AF,4.55145931244,0.0296189784662,8.62
AGN,2.65682458878,0.0237988883422,5.08
AH,2.70561361313,0.0158072668335,20.6
AHA,4.05433988571,0.0219618251978,38.5
AI,4.25932025909,0.0155097912421,98.14
AKZ,3.53341722488,0.0185027730996,57.5
AL1,2.69145441055,0.0269056547833,11.6
ASL,3.43579959869,0.0249806452401,86.85
ASM,2.85373163223,0.0256655159475,38.2
ATO,3.24706363678,0.0220431751347,69.69
AVH,3.31888866425,0.0153200807159,129.0
BAM,3.32768344879,0.0257011498117,4.04
BAR,2.35640573502,0.0174394080171,62.92
BB,3.21840190887,0.0145499468836,130.9
BEK,3.4658229351,0.0225636229942,35.1
BN,4.52729701996,0.0148878678953,63.0
BNP,3.01408863068,0.0223289553404,46.05
BOS,3.02495288849,0.0199727809656,33.27
BXF,3.25218868256,0.012275901419,3437.88
CA,4.18693494797,0.0200102479227,23.8
CAP,3.84959077835,0.0252647187257,78.27
CDI,4.04521274567,0.0198617527912,162.85
CNP,3.93313837051,0.0192586901749,13.97
CO,3.76408338547,0.0167869597389,48.4
COL,3.41997337341,0.0127097056985,51.32
CS,2.90062379837,0.0237170654093,21.89
CSM,2.98018312454,0.0161541617428,20.24
DEL,2.94286108017,0.01682255373,95.74
DG,3.93451070786,0.0183286663674,65.29
DSM,3.99024438858,0.0175420929709,48.06
DSY,2.82636594772,0.017231986335,70.27
EAD,4.24747514725,0.0250845755498,60.78
EF,4.26151752472,0.0148536643951,110.0
EN,3.68459653854,0.0213994094551,36.38
EO,3.86422014236,0.0287884570341,33.6
EX,2.82890367508,0.0172819443987,19.06
FCE,3.873067379,0.0148538087256,4463.0
FG,3.36881732941,0.0215639547718,65.7
FP,4.33383274078,0.0169814032312,41.2843646525
FR,4.23241901398,0.0261554115624,136.35
FTE,3.04897022247,0.0192946718739,16.3
FUR,2.64741182327,0.0210297511321,17.3
GBL,3.7909693718,0.014061707327,73.27
GLE,3.00956058502,0.0259334829463,35.4
HEI,4.49689245224,0.0154560332424,77.08
HEY,2.44715738297,0.0224781312426,8.44
HO,5.1208615303,0.0177544263038,73.26
IE,3.0685300827,0.0187978191937,36.7
IHC,3.35301685333,0.0230881293575,12.1
ING,2.52094316483,0.0241872957266,11.42
KBC,2.19638800621,0.0227062034858,47.88
KER,3.09706401825,0.0195829805679,162.75
KPN,2.59628748894,0.0178519517127,3.64
MC,4.02615070343,0.0198875387742,155.05
ML,4.32071971893,0.0231306134563,89.93
MMB,3.40514469147,0.0191740493378,23.3
MMT,3.22679615021,0.0193097336754,16.22
MOB,3.11580753326,0.0173526833339,20.57
OR,5.07916212082,0.0165987827512,155.5
ORD,2.60192513466,0.0248609163937,1.02
PHI,3.62471437454,0.0216243654274,24.5
PNL,2.87700605392,0.0208046006359,3.71
PUB,3.63875055313,0.0188479230143,60.97
RD,3.32942676544,0.0146920328696,21.75
REN,4.14336299896,0.0159456616991,15.39
RF,3.52631902695,0.020148617407,57.5
RI,3.38909244537,0.0149399094446,102.15
RND,3.63355970383,0.0255056192979,47.71
RNO,4.35477542877,0.0283024066724,86.03
SAN,4.15755748749,0.0172233210236,73.02
SGO,3.6040892601,0.0225567667801,37.66
SOL,4.02586078644,0.0179957309758,87.5
STM,4.54304981232,0.0279568983241,5.1581482208
SU,4.09195995331,0.0218280364536,55.11
SW,3.15027523041,0.0155187893739,96.11
TEC,3.70426130295,0.024351299925,49.98
TF1,3.88239145279,0.0242978372896,11.4
TMS,2.34499597549,0.0260465974203,5.61
UCB,3.67016553879,0.0173882428988,69.76
UG,4.4857416153,0.0291154849887,15.51
UL,4.70615291595,0.0176366604007,245.300060557
UMC,3.34394359589,0.0203009236384,42.89
UN,4.32514476776,0.0141786424446,39.49
VIE,3.17283153534,0.0198604875418,20.49
VK,3.29793262482,0.026637333596,6.17
VPK,3.66338682175,0.0178623895934,44.48
WHV,3.39825534821,0.0138195724233,49.42
WKL,3.76659917831,0.0164831755564,35.35
